,training_time,training_acc,validation_acc
8,57.674652338027954,0.9894500970840454,0.9859122037887573
16,44.87309765815735,0.9907315969467163,0.983991265296936
24,39.77362275123596,0.9923858642578125,0.9893276691436768
32,21.700939655303955,0.990588903427124,0.9732479453086853
40,20.205333709716797,0.9911229014396667,0.9861969351768494
48,17.72661519050598,0.9880805015563965,0.9786553978919983
56,23.94638991355896,0.9937199354171753,0.9894703030586243
64,17.436744451522827,0.9912115931510925,0.9772323369979858
72,24.100879907608032,0.993079662322998,0.9833514094352722
80,24.845121383666992,0.993346095085144,0.9871932864189148
88,29.782485008239746,0.9941826462745667,0.9904659390449524
96,14.092525005340576,0.9868356585502625,0.9787975549697876
104,15.39081597328186,0.9884721040725708,0.9729633927345276
112,17.492238521575928,0.9899665713310242,0.9762361645698547
120,17.008310079574585,0.9895213842391968,0.9797937273979187
128,25.853994131088257,0.9938980340957642,0.9873355627059937
136,24.13038682937622,0.9938802123069763,0.9866238832473755
144,28.78093910217285,0.9942712187767029,0.9901814460754395
152,21.73703169822693,0.991104781627655,0.9852721691131592
160,14.59992241859436,0.9856435060501099,0.977161169052124
168,13.565108060836792,0.9839178323745728,0.9747421741485596
176,12.51875925064087,0.9858388304710388,0.9850587844848633
184,12.744302749633789,0.984078049659729,0.9730345606803894
192,15.655287504196167,0.9876003861427307,0.9795801639556885
200,13.988523006439209,0.984184741973877,0.9679118394851685
208,14.86182713508606,0.9864440560340881,0.9827818870544434
216,16.879833459854126,0.9881875514984131,0.9770899415016174
224,17.61826729774475,0.9874045252799988,0.9715403318405151
232,23.15197730064392,0.9925459027290344,0.9859125018119812
240,14.51991868019104,0.9855544567108154,0.976520836353302
248,14.757031202316284,0.9851452112197876,0.978797435760498
256,12.024150133132935,0.9866575002670288,0.97623610496521
264,20.172427892684937,0.9882407188415527,0.9850587248802185
272,22.352684497833252,0.9884897470474243,0.9693347811698914
280,16.757819890975952,0.9863905906677246,0.9827818870544434
288,13.563634634017944,0.9842556715011597,0.9691924452781677
296,18.420112133026123,0.9867106676101685,0.9754535555839539
304,21.448984622955322,0.9892725348472595,0.9769477248191833
312,20.76197624206543,0.9866929650306702,0.9826396107673645
320,26.510876178741455,0.9895038604736328,0.9834935069084167
328,19.184724807739258,0.9856255650520325,0.9755959510803223
336,18.274800062179565,0.9841665029525757,0.9740305542945862
344,20.60381507873535,0.9890234470367432,0.9793667793273926
352,17.340044736862183,0.9851984977722168,0.9763073921203613
360,15.859134674072266,0.9820676445960999,0.9758092761039734
368,21.536561965942383,0.9880985021591187,0.9807186722755432
376,15.972144603729248,0.9853585958480835,0.9750266671180725
384,14.76796293258667,0.9843091368675232,0.9691213369369507
392,16.299410820007324,0.9843980073928833,0.971611499786377
400,17.03850507736206,0.983864426612854,0.9733189940452576
408,14.966038227081299,0.9817295074462891,0.9745997786521912
416,16.269289255142212,0.9806088209152222,0.9684810042381287
424,18.010176420211792,0.9823522567749023,0.9688368439674377
432,20.50614070892334,0.9844869375228882,0.9701172709465027
440,13.589271783828735,0.9810534119606018,0.9742440581321716
448,22.85277223587036,0.9849674105644226,0.9821414947509766
456,15.49054479598999,0.9817295074462891,0.9726075530052185
464,15.652015924453735,0.9812669157981873,0.977730393409729
472,16.088825702667236,0.9822276830673218,0.9686232805252075
480,23.7012140750885,0.9846471548080444,0.9730345606803894
488,20.918262720108032,0.9840423464775085,0.9766630530357361
496,19.202296495437622,0.9847005605697632,0.9812166690826416
